,idx,class,conversation
0,0,일반대화,"오늘 기분이 어때요?
괜찮아요, 조금 피곤하긴 하지만요."
1,1,일반대화,"요즘 무슨 취미가 생겼나요?
요즘 사진 찍는 게 재밌더라고요."
2,2,일반대화,"최근에 읽은 책 중에서 추천할 만한 게 있나요?
네, 한 권 있는데 정말 감동적이었어요."
3,3,일반대화,"점심 메뉴로 뭐가 좋을까요?
아마 비빔밥이 괜찮지 않을까요?"
4,4,일반대화,"여름휴가는 어디로 가세요?
아직 계획 없지만 해변가가 좋을 것 같아요."
5,5,일반대화,"오늘 일이 많았어요?
네, 좀 바빴지만 그래도 보람 있었어요."
6,6,일반대화,"다음 주에 같이 산책할까요?
좋아요! 요즘 날씨가 산책하기 딱이네요."
7,7,일반대화,"이번 주말에는 특별한 계획 있나요?
아니요, 그냥 집에서 쉬려고요."
8,8,일반대화,"새로 생긴 카페에 가봤어요?
네, 분위기가 정말 좋더라고요."
9,9,일반대화,"올해 목표는 뭐예요?
건강하게 지내는 게 가장 큰 목표에요."
10,10,일반대화,"오늘은 조용한 하루였어요?
네, 정말 바빴어요."
11,11,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
12,12,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
13,13,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
14,14,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
15,15,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
16,16,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
17,17,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
18,18,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
19,19,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
20,20,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
21,21,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
22,22,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
23,23,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
24,24,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
25,25,일반대화,"오늘은 좋은 하루였어요?
네, 정말 바빴어요."
26,26,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
27,27,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
28,28,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
29,29,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
30,30,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
