,idx,class,conversation
0,0,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
1,1,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
2,2,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
3,3,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
4,4,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
5,5,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
6,6,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
7,7,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
8,8,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
9,9,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
10,10,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
11,11,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
12,12,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
13,13,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
14,14,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
15,15,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
16,16,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
17,17,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
18,18,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
19,19,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
20,20,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
21,21,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
22,22,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
23,23,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
24,24,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
25,25,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
26,26,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
27,27,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
28,28,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
29,29,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
30,30,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
31,31,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
32,32,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
33,33,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
34,34,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
35,35,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
36,36,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
37,37,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
38,38,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
39,39,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
40,40,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
41,41,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
42,42,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
43,43,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
44,44,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
45,45,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
46,46,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
47,47,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
48,48,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
49,49,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
50,50,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
51,51,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
52,52,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
53,53,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
54,54,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
55,55,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
56,56,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
57,57,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
58,58,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
59,59,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
60,60,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
61,61,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
62,62,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
63,63,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
64,64,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
65,65,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
66,66,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
67,67,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
68,68,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
69,69,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
70,70,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
71,71,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
72,72,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
73,73,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
74,74,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
75,75,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
76,76,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
77,77,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
78,78,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
79,79,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
80,80,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
81,81,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
82,82,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
83,83,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
84,84,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
85,85,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
86,86,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
87,87,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
88,88,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
89,89,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
90,90,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
91,91,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
92,92,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
93,93,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
94,94,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
95,95,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
96,96,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
97,97,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
98,98,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
99,99,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
100,100,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
101,101,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
102,102,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
103,103,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
104,104,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
105,105,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
106,106,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
107,107,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
108,108,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
109,109,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
110,110,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
111,111,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
112,112,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
113,113,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
114,114,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
115,115,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
116,116,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
117,117,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
118,118,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
119,119,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
120,120,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
121,121,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
122,122,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
123,123,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
124,124,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
125,125,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
